자치구,성별,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+ 
,남자,279663,10110,11394,10620,12074,15890,22971,24910,26507,22614,23136,20412,21018,20351,14496,10833,6934,3500,1423,378,92
,여자,299177,9603,10979,9935,11848,17481,27145,25255,24910,22105,23072,22210,23796,23425,16730,11881,8286,5779,3139,1299,299
구로구,계,427307,14118,15519,14194,15704,23520,31915,32879,34903,31988,34906,34942,36420,35577,26187,18911,13170,7805,3333,1087,229
,남자,212397,7254,7825,7220,8198,11750,15553,16716,18240,16757,18183,17456,17917,17023,12456,9091,6114,3257,1096,249,42
,여자,214910,6864,7694,6974,7506,11770,16362,16163,16663,15231,16723,17486,18503,18554,13731,9820,7056,4548,2237,838,187
금천구,계,248496,6800,7332,6685,8303,14556,22017,20257,18939,16711,19767,21945,23704,21416,15040,10582,7526,4323,1847,590,156
,남자,126359,3526,3702,3414,4184,7260,11546,11101,10559,9060,10293,11006,11947,10673,7310,4922,3401,1743,574,110,28
,여자,122137,3274,3630,3271,4119,7296,10471,9156,8380,7651,9474,10939,11757,10743,7730,5660,4125,2580,1273,480,128
영등포구,계,389064,12788,12390,10662,12457,20653,35644,36819,33960,27956,30645,31427,32778,30595,21728,15326,11309,7262,3313,1077,275
,남자,193653,6542,6305,5618,6580,9571,16869,18818,18059,14665,16080,16028,16414,15033,10538,7161,4981,2985,1075,265,66
,여자,195411,6246,6085,5044,5877,11082,18775,18001,15901,13291,14565,15399,16364,15562,11190,8165,6328,4277,2238,812,209
동작구,계,401650,11773,13531,12455,14995,31458,42007,33426,31562,28318,30624,29990,30159,28721,21002,16503,12584,7725,3392,1155,270
,남자,194064,5923,6816,6437,7582,14422,20931,16827,16042,14290,15319,14354,14419,13249,9618,7301,5827,3191,1137,313,66
,여자,207586,5850,6715,6018,7413,17036,21076,16599,15520,14028,15305,15636,15740,15472,11384,9202,6757,4534,2255,842,204
관악구,계,507757,11720,12505,12218,16303,42114,71728,51473,39808,33221,36053,34795,35828,34228,26176,20629,15631,8551,3377,1124,275
,남자,253433,6075,6455,6279,8205,18743,36516,28198,21679,17912,19081,17308,17297,15951,11993,9402,7186,3672,1180,251,50
,여자,254324,5645,6050,5939,8098,23371,35212,23275,18129,15309,16972,17487,18531,18277,14183,11227,8445,4879,2197,873,225
서초구,계,403569,12911,19436,20627,20686,23337,29192,29327,32982,34577,38484,32502,27932,25948,19461,15250,10346,5980,2981,1284,326
,남자,192683,6607,10133,10491,10507,11147,13434,13600,15299,16019,18675,16087,13341,12040,8837,7074,5118,2734,1111,355,74
,여자,210886,6304,9303,10136,10179,12190,15758,15727,17683,18558,19809,16415,14591,13908,10624,8176,5228,3246,1870,929,252
강남구,계,505092,13208,21091,26069,28635,29606,38027,37860,41039,42969,49277,42017,34475,31762,24427,19171,12654,7194,3670,1525,416
,남자,241373,6758,10995,13636,14888,14321,17587,17534,18811,19562,23620,20969,16858,14643,11059,8947,6142,3273,1253,413,104
,여자,263719,6450,10096,12433,13747,15285,20440,20326,22228,23407,25657,21048,17617,17119,13368,10224,6512,3921,2417,1112,312
송파구,계,658321,22744,28073,27467,30365,39506,52362,53871,57139,52018,55385,52603,50949,47930,34164,23502,15089,8737,4411,1622,384
,남자,317559,11885,14456,13932,15561,19617,24148,25712,27559,25110,26735,25424,24194,22448,16413,11548,7293,3688,1406,348,82
,여자,340762,10859,13617,13535,14804,19889,28214,28159,29580,26908,28650,27179,26755,25482,17751,11954,7796,5049,3005,1274,302
강동구,계,400375,12052,15481,16296,18453,23263,29477,28119,31879,30786,33424,32517,33367,32662,23591,16836,11116,6390,3104,1256,306
,남자,196757,6264,8097,8709,9663,11798,14433,14089,15922,15413,16738,15823,15987,15274,11247,8186,5282,2567,917,281,67
,여자,203618,5788,7384,7587,8790,11465,15044,14030,15957,15373,16686,16694,17380,17388,12344,8650,5834,3823,2187,975,239
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
